CVX_Code|Description|VaccineName|Note|VaccineStatus|internalID|nonvaccine|update_date
143|Adenovirus types 4 and 7|Adenovirus, type 4 and type 7, live, oral|This vaccine is administered as 2 tablets.|Active|161|FALSE|20-Mar-11
54|adenovirus, type 4|adenovirus vaccine, type 4, live, oral||Inactive|1|FALSE|28-May-10
55|adenovirus, type 7|adenovirus vaccine, type 7, live, oral||Inactive|2|FALSE|28-May-10
82|adenovirus, unspecified formulation|adenovirus vaccine, unspecified formulation|This CVX code is intended to allow reporting of adenovirus vaccinations where the formulation is not known.  For example, this may occur if a historic record of an adenovirus vaccination is recorded from a vaccination card.|Inactive|3|FALSE|30-Sep-10
24|anthrax|anthrax vaccine||Active|4|FALSE|28-May-10
19|BCG|Bacillus Calmette-Guerin vaccine||Active|5|FALSE|28-May-10
27|botulinum antitoxin|botulinum antitoxin||Active|6|FALSE|28-May-10
26|cholera|cholera vaccine||Inactive|7|FALSE|28-May-10
29|CMVIG|cytomegalovirus immune globulin, intravenous||Active|8|FALSE|28-May-10
56|dengue fever|dengue fever vaccine||Never Active|9|FALSE|28-May-10
12|diphtheria antitoxin|diphtheria antitoxin||Active|10|FALSE|28-May-10
28|DT (pediatric)|diphtheria and tetanus toxoids, adsorbed for pediatric use||Active|11|FALSE|28-May-10
20|DTaP|diphtheria, tetanus toxoids and acellular pertussis vaccine||Active|12|FALSE|28-May-10
106|DTaP, 5 pertussis antigens|diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens||Active|13|FALSE|28-May-10
107|DTaP, unspecified formulation|diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation|This CVX code is intended to allow reporting of DTAP vaccinations where the formulation is not known.  For example, this may occur if a historic record of an DTAP vaccination is recorded from a vaccination card.|Inactive|14|FALSE|30-Sep-10
110|DTaP-Hep B-IPV|DTaP-hepatitis B and poliovirus vaccine||Active|15|FALSE|28-May-10
50|DTaP-Hib|DTaP-Haemophilus influenzae type b conjugate vaccine||Active|16|FALSE|28-May-10
120|DTaP-Hib-IPV|diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)||Active|17|FALSE|28-May-10
130|DTaP-IPV|Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated||Active|19|FALSE|28-May-10
132|DTaP-IPV-HIB-HEP B, historical|Historical record of vaccine containing diphtheria,tetanus toxoids and acellular pertussis||Inactive|148|FALSE|28-May-10
01|DTP|diphtheria, tetanus toxoids and pertussis vaccine||Inactive|21|FALSE|28-May-10
22|DTP-Hib|DTP-Haemophilus influenzae type b conjugate vaccine||Inactive|22|FALSE|28-May-10
