SCTID	FullySpecifiedName	DateOfStatusChange	SubsetStatus	SNOMEDStatus
169860002	Baby BW = < 3% (under 2500g) (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
50992006	22q partial trisomy syndrome (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
237931009	2-Ketoadipic acidemia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
54470008	3 beta-Hydroxysteroid dehydrogenase deficiency (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
237950009	3-Methylglutaconic aciduria (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
296646009	4-quinolones overdose (disorder)	4/1/2007	ACTIVE	ACTIVE (Current)
41797007	5,10-Methylenetetrahydrofolate reductase deficiency (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
413380004	A pattern strabismus (disorder)	7/3/2006	ACTIVE	ACTIVE (Current)
425879009	AA amyloid nephropathy (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
274945004	AA amyloidosis (disorder)	5/6/2006	ACTIVE	ACTIVE (Current)
75100008	Abdominal abscess (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
43894001	Abdominal actinomycosis (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
233985008	Abdominal aortic aneurysm (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
253679008	Abdominal aortic coarctation (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
116289008	Abdominal bloating (finding)	5/6/2006	ACTIVE	ACTIVE (Current)
9991008	Abdominal colic (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
271860004	Abdominal mass (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
75879005	Abdominal migraine (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
21522001	Abdominal pain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
82661006	Abdominal pregnancy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
72300008	Abdominal rigidity (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
43478001	Abdominal tenderness (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
162042000	Abdominal wall pain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
45979003	Abdominal wind pain (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
33781009	Abdominopelvic abscess (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
398760006	Abducens nerve palsy (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
31283000	Abductor spastic dysphonia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
205365003	Aberrant muscle of the lower limb (disorder)	1/1/2008	ACTIVE	ACTIVE (Current)
190787008	Abetalipoproteinemia (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
274688009	Abnorm cytolog finding specimens from female genital organs (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
42170009	Abnormal amniotic fluid (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
60331006	Abnormal auditory perception (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
309195009	Abnormal biochemistry findings (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
60612008	Abnormal bowel sounds (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
386813002	Abnormal breathing (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
111970001	Abnormal cardiovascular function (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
309081009	Abnormal cervical smear (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
129679001	Abnormal CT scan (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
50455002	Abnormal dark adaptation curve (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
83145004	Abnormal dermatoglyphic pattern (disorder)	3/1/2008	ACTIVE	ACTIVE (Current)
102594003	Abnormal ECG (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
271840007	Abnormal feces (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
655007	Abnormal fetal heart beat noted before labor in liveborn infant (disorder)	11/1/2006	ACTIVE	ACTIVE (Current)
312668007	Abnormal fetal heart rate (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
274527008	Abnormal findings diagnostic imaging of liver+biliary tract (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
199732004	Abnormal findings on antenatal screening of mother (disorder)	10/1/2006	ACTIVE	ACTIVE (Current)
274530001	Abnormal findings on diagnostic imaging of breast (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
274533004	Abnormal findings on diagnostic imaging of lung (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
274535006	Abnormal findings on diagnostic imaging of skull and head (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
39763004	Abnormal glucose tolerance in mother complicating pregnancy, childbirth AND/OR puerperium (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
274858002	Abnormal glucose tolerance test (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
372054004	Abnormal glucose tolerance test during pregnancy - baby not yet delivered (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
31825002	Abnormal granulation tissue (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
309194008	Abnormal hematology findings (finding)	1/1/2008	ACTIVE	ACTIVE (Current)
309198006	Abnormal histology findings (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
302644007	Abnormal immature chorion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
70673006	Abnormal innervation syndrome (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
260912008	Abnormal involuntary movement (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
309158009	Abnormal laboratory findings (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
75183008	Abnormal liver function (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
5413009	Abnormal male sexual function (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
123667006	Abnormal mature chorion (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
237620003	Abnormal metabolic state in diabetes mellitus (disorder)	10/1/2007	ACTIVE	ACTIVE (Current)
205557000	Abnormal palmar creases (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
301783004	Abnormal perimenopausal bleeding (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
12772003	Abnormal peripheral vision (finding)	11/1/2006	ACTIVE	ACTIVE (Current)
56313000	Abnormal placenta affecting management of mother (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
39804004	Abnormal products of conception (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
72124005	Abnormal pupillary function (disorder)	4/2/2006	ACTIVE	ACTIVE (Current)
129678009	Abnormal radiographic examination (finding)	10/1/2007	ACTIVE	ACTIVE (Current)
46670006	Abnormal reflex (finding)	4/2/2006	ACTIVE	ACTIVE (Current)
