snomedid|term
P1-30849|Arterial bypass graft
P1-30849|Creation of arterioarterial bypass
P1-30849|Bypass/graft of artery
P1-30849|Creation of arterioarterial shunt
P1-30849|Creation of arterial bypass
P1-30849|Creation of arterial vascular bypass
P2-1184C|Obesity diet education
P2-1184C|Dietary advice for obesity
P0-054AA|Examination of wrist joint
P2-0145F|Examination of sacroiliac joint
P0-055E4|Angioplasty of renal artery
P0-055E5|Cardioversion by intracardiac catheter
P0-20605|Referral to forensic psychiatry service
P0-05245|Procedure on iris
P0-20636|Referral to thoracic surgery service
P0-20662|Referral for diagnostic investigation
P0-20695|Referral to chest physician
P0-20696|Referral to thoracic physician
P0-20697|Referral to respiratory physician
P0-20698|Referral to clinical neurophysiologist
P0-206CB|Referral to nurse behavioral therapist
P0-206CB|Referral to nurse behavioural therapist
P0-206CC|Referral to nurse psychotherapist
P0-206CD|Referral to pain management nurse
P0-20003|Discharge by health worker
P0-20004|Discharge by counsellor
P0-05269|Procedure on adenoids
P0-20026|Discharge by cardiologist
P0-20027|Discharge by chest physician
P0-20028|Discharge by thoracic physician
P0-205D2|Referral by diagnostic radiographer
P0-205D2|Referral from diagnostic radiographer
P0-205D3|Referral by speech and language therapist
P0-205D3|Referral from speech and language therapist
P0-205D4|Referral by community-based speech and language therapist
P0-205D4|Referral by community speech and language therapist
P0-205D4|Referral from community-based speech and language therapist
P0-205D4|Referral from community speech and language therapist
P1-60104|Exploration of parathyroid transplant
P0-05544|Operation on brain ventricle
P0-055E3|Removal of liver pack
P0-00710|Infectious diseases service
P1-3053C|Flushing of Hickman line
P1-5B018|Marsupialisation of liver cyst
P1-5B018|Marsupialization of liver cyst
P1-5B701|Laparoscopic marsupialization of liver cyst
P1-5B701|Laparoscopic marsupialisation of liver cyst
P0-055E9|Exploration of colon
P1-43841|Marsupialisation of pilonidal sinus
P1-43841|Marsupialization of pilonidal sinus
P1-57939|Closure of defunctioning colostomy
P1-3093C|Ligation of abdominal aorta
P1-32009|Cardiac valvotomy
P1-32009|Cardiac valvulotomy
P1-32009|Incision of heart valve
