ICD_9_Code 	ICD_9_Desc 
780.01	Coma
780.02	Transient alteration of awareness
780.03	Persistent vegetative state
780.09	Other alteration of consciousness
780.31	Febrile convulsions (simple), unspecified
780.32	Complex febrile convulsions
780.39	Other convulsions
780.51	Insomnia with sleep apnea, unspecified
780.52	Insomnia, unspecified
780.53	Hypersomnia with sleep apnea, unspecified
780.54	Hypersomnia, unspecified
780.55	Disruptions of 24 hour sleep wake cycle, unspecified
780.56	Dysfunctions associated with sleep stages or arousal from sleep
780.57	Unspecified sleep apnea
780.58	Sleep related movement disorder, unspecified
780.59	Other sleep disturbances
780.6	Fever, unspecified
780.61	Fever presenting with conditions classified elsewhere
780.62	Postprocedural fever
780.63	Postvaccination fever
780.64	Chills (without fever)
780.65	Hypothermia not associated with low environmental temperature
780.71	Chronic fatigue syndrome
780.72	Functional quadriplegia
780.79	Other malaise and fatigue
780.91	Fussy infant (baby)
780.92	Excessive crying of infant (baby)
780.93	Memory loss
780.94	Early satiety
780.95	Excessive crying of child, adolescent, or adult
780.96	Generalized pain
780.97	Altered mental status
438.83	Facial weakness
781.91	Loss of height
781.92	Abnormal posture
781.93	Ocular torticollis
781.94	Facial weakness
782.61	Pallor
782.62	Flushing
783.21	Loss of weight
783.22	Underweight
783.4	Lack of normal physiological development, unspecified
783.41	Failure to thrive
783.42	Delayed milestones
783.43	Short stature
784.41	Aphonia
784.49	Other voice disturbance
784.6	Symbolic dysfunction, unspecified
784.61	Alexia and dyslexia
784.91	Postnasal drip
785.5	Shock, unspecified
785.51	Cardiogenic shock
785.52	Septic shock
785.59	Other shock without mention of trauma
786	Respiratory abnormality, unspecified
786.01	Hyperventilation
786.02	Orthopnea
786.03	Apnea
786.04	Cheyne-Stokes respiration
786.05	Shortness of breath
786.06	Tachypnea
786.07	Wheezing
786.09	Other dyspnea and respiratory abnormality
786.51	Precordial pain
786.52	Painful respiration
786.59	Other chest pain
787.01	Nausea with vomiting
787.02	Nausea alone
787.03	Vomiting alone
787.21	Dysphagia, oral phase
787.22	Dysphagia, oropharyngeal phase
787.23	Dysphagia, pharyngeal phase
787.24	Dysphagia, pharyngoesophageal phase
787.29	Other dysphagia
787.91	Diarrhea
788.21	Incomplete bladder emptying
788.29	Other specified retention of urine
788.31	Urge incontinence
788.32	Stress incontinence, male
788.33	Mixed incontinence (female) (male)
788.34	Incontinence without sensory awareness
788.35	Post-void dribbling
788.36	Nocturnal enuresis
788.37	Continuous leakage of urine
788.38	Overflow incontinence
788.39	Other urinary incontinence
788.41	Urinary frequency
788.42	Polyuria
788.43	Nocturia
788.61	Splitting of urinary stream
788.62	Slowing of urinary stream
788.63	Urgency of urination
788.64	Urinary hesitancy
788.65	Straining on urination
788.91	Functional urinary incontinence
789.01	Abdominal pain, right upper quadrant
789.02	Abdominal pain, left upper quadrant
789.03	Abdominal pain, right lower quadrant
789.04	Abdominal pain, left lower quadrant
789.05	Abdominal pain, periumbilic
789.06	Abdominal pain, epigastric
789.07	Abdominal pain, generalized
789.09	Abdominal pain, other specified site; multiple sites
789.3	Abdominal or pelvic swelling, mass, or lump, unspecified site
789.31	Abdominal or pelvic swelling, mass, or lump, right upper quadrant
789.32	Abdominal or pelvic swelling, mass, or lump, left upper quadrant
789.33	Abdominal or pelvic swelling, mass, or lump, right lower quadrant
789.34	Abdominal or pelvic swelling, mass, or lump, left lower quadrant
789.35	Abdominal or pelvic swelling, mass, or lump, periumbilic
789.36	Abdominal or pelvic swelling, mass, or lump, epigastric
789.37	Abdominal or pelvic swelling, mass, or lump, generalized
789.39	Abdominal or pelvic swelling, mass, or lump, other specified site; multiple sites
789.41	Abdominal rigidity, right upper quadrant
789.42	Abdominal rigidity, left upper quadrant
789.43	Abdominal rigidity, right lower quadrant
789.44	Abdominal rigidity, left lower quadrant
789.45	Abdominal rigidity, periumbilic
789.46	Abdominal rigidity, epigastric
789.47	Abdominal rigidity, generalized
789.49	Abdominal rigidity, other specified site; multiple sites
789.51	Malignant ascites
789.59	Other ascites
789.61	Abdominal tenderness, right upper quadrant
789.62	Abdominal tenderness, left upper quadrant
789.63	Abdominal tenderness, right lower quadrant
789.64	Abdominal tenderness, left lower quadrant
789.65	Abdominal tenderness, periumbilic
789.66	Abdominal tenderness, epigastric
789.67	Abdominal tenderness, generalized
789.69	Abdominal tenderness, other specified site; multiple sites
790.01	Precipitous drop in hematocrit
790.09	Other abnormality of red blood cells
790.21	Impaired fasting glucose
790.22	Impaired glucose tolerance test (oral)
790.29	Other abnormal glucose
790.91	Abnormal arterial blood gases
790.92	Abnormal coagulation profile
790.93	Elevated prostate specific antigen [PSA]
790.94	Euthyroid sick syndrome
790.95	Elevated C-reactive protein (CRP)
793.8	Abnormal mammogram, unspecified
793.81	Mammographic microcalcification
793.89	Other abnormal findings on radiological examination of breast
