SOURCE 	CLASS	LOINC_CODE	"Rank Order(1 = most frequently ordered)"	CONVENIENCE_NAME	LOINC_LONG_COMMON_NAME	COMPONENT	PROPERTY	TM	SPCMN	SCALE	METHOD	Usually not performed at a referral lab (X)
	CHEM	2160-0	1	Creat SerPl-mCnc	Creatinine [Mass/volume] in Serum or Plasma								
	HEM/BC	718-7	2	Hgb Bld-mCnc	Hemoglobin [Mass/volume] in Blood								
	CHEM	2823-3	3	Potassium SerPl-sCnc	Potassium [Moles/volume] in Serum or Plasma								
	CHEM	2345-7	4	Glucose SerPl-mCnc	Glucose [Mass/volume] in Serum or Plasma								
	CHEM	2951-2	5	Sodium SerPl-sCnc	Sodium [Moles/volume] in Serum or Plasma								
	CHEM	3094-0	6	BUN SerPl-mCnc	Urea nitrogen [Mass/volume] in Serum or Plasma								
	CHEM	2028-9	7	CO2 SerPl-sCnc	Carbon dioxide, total [Moles/volume] in Serum or Plasma								
	CHEM	2075-0	8	Chloride SerPl-sCnc	Chloride [Moles/volume] in Serum or Plasma								
	HEM/BC	789-8	9	RBC # Bld Auto	Erythrocytes [#/volume] in Blood by Automated count								
	HEM/BC	786-4	10	MCHC RBC Auto-mCnc	Erythrocyte mean corpuscular hemoglobin concentration [Mass/volume] by Automated count								
	HEM/BC	785-6	11	MCH RBC Qn Auto	Erythrocyte mean corpuscular hemoglobin [Entitic mass] by Automated count								
	CHEM	17861-6	12	Calcium SerPl-mCnc	Calcium [Mass/volume] in Serum or Plasma								
	CHEM	2339-0	13	Glucose Bld-mCnc	Glucose [Mass/volume] in Blood								
	HEM/BC	4544-3	14	Hct VFr Bld Auto	Hematocrit [Volume Fraction] of Blood by Automated count								
	HEM/BC	6690-2	15	WBC # Bld Auto	Leukocytes [#/volume] in Blood by Automated count								
	CHEM	1742-6	16	ALT SerPl-cCnc	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma								
	HEM/BC	787-2	17	MCV RBC Auto	Erythrocyte mean corpuscular volume [Entitic volume] by Automated count								
	HEM/BC	777-3	18	Platelet # Bld Auto	Platelets [#/volume] in Blood by Automated count								
	CHEM	1920-8	19	AST SerPl-cCnc	Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma								
	CHEM	1751-7	20	Albumin SerPl-mCnc	Albumin [Mass/volume] in Serum or Plasma								
	CHEM	1975-2	21	Bilirub SerPl-mCnc	Bilirubin.total [Mass/volume] in Serum or Plasma								
	CHEM	2885-2	22	Prot SerPl-mCnc	Protein [Mass/volume] in Serum or Plasma								
	CHEM	6768-6	23	ALP SerPl-cCnc	Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma								
	HEM/BC	788-0	24	RDW RBC Auto-Rto	Erythrocyte distribution width [Ratio] by Automated count								
	HEM/BC	770-8	25	Neutrophils NFr Bld Auto	Neutrophils/100 leukocytes in Blood by Automated count								
	CHEM	33914-3	26	GFR/BSA.pred SerPl MDRD-ArVRat	Glomerular filtration rate/1.73 sq M.predicted by Creatinine-based formula (MDRD)								
	HEM/BC	704-7	27	Basophils # Bld Auto	Basophils [#/volume] in Blood by Automated count								
	HEM/BC	20570-8	28	Hct VFr Bld	Hematocrit [Volume Fraction] of Blood								
	CHEM	48642-3	29	GFR/BSA pred.non black SerPl MDRD-ArVRat	Glomerular filtration rate/1.73 sq M predicted among non-blacks by Creatinine-based formula (MDRD)								
	CHEM	48643-1	30	GFR/BSA pred.black SerPl MDRD-ArVRat	Glomerular filtration rate/1.73 sq M predicted among blacks by Creatinine-based formula (MDRD)								
	HEM/BC	26515-7	31	Platelet # Bld	Platelets [#/volume] in Blood								
	CHEM	2093-3	32	Cholest SerPl-mCnc	Cholesterol [Mass/volume] in Serum or Plasma								
	HEM/BC	26464-8	33	WBC # Bld	Leukocytes [#/volume] in Blood								
	HEM/BC	30428-7	34	MCV RBC	Erythrocyte mean corpuscular volume [Entitic volume]								
	HEM/BC	731-0	35	Lymphocytes # Bld Auto	Lymphocytes [#/volume] in Blood by Automated count								
	CHEM	2571-8	36	Trigl SerPl-mCnc	Triglyceride [Mass/volume] in Serum or Plasma								
	CHEM	10466-1	37	Anion Gap3 SerPl-sCnc	Anion gap 3 in Serum or Plasma								
	CHEM	2085-9	38	HDLc SerPl-mCnc	Cholesterol in HDL [Mass/volume] in Serum or Plasma								
	MICRO	6463-4	39	Bacteria XXX Cult	Bacteria identified in Unspecified specimen by Culture								
	HEM/BC	26485-3	40	Monocytes NFr Bld	Monocytes/100 leukocytes in Blood								
	HEM/BC	736-9	41	Lymphocytes NFr Bld Auto	Lymphocytes/100 leukocytes in Blood by Automated count								
	HEM/BC	706-2	42	Basophils NFr Bld Auto	Basophils/100 leukocytes in Blood by Automated count								
	HEM/BC	713-8	43	Eosinophil NFr Bld Auto	Eosinophils/100 leukocytes in Blood by Automated count								
	HEM/BC	5905-5	44	Monocytes NFr Bld Auto	Monocytes/100 leukocytes in Blood by Automated count								
	HEM/BC	26478-8	45	Lymphocytes NFr Bld	Lymphocytes/100 leukocytes in Blood								
	HEM/BC	751-8	46	Neutrophils # Bld Auto	Neutrophils [#/volume] in Blood by Automated count								
	COAG	5902-2	47	PT Time PPP	Prothrombin time (PT) in Platelet poor plasma by Coagulation assay								
	OB.US	33069-6	48	Fet Width.translucency US.meas	Fetal Neck.soft tissue Translucency width US								
	HEM/BC	26450-7	49	Eosinophil NFr Bld	Eosinophils/100 leukocytes in Blood								
	HEM/BC	711-2	50	Eosinophil # Bld Auto	Eosinophils [#/volume] in Blood by Automated count								
	TUMRRGT	22637-3	51	Path report.final Dx Spec	Pathology report final diagnosis								
	HEM/BC	742-7	52	Monocytes # Bld Auto	Monocytes [#/volume] in Blood by Automated count								
	COAG	6301-6	53	INR PPP	INR in Platelet poor plasma by Coagulation assay								
	HEM/BC	30180-4	54	Basophils NFr Bld	Basophils/100 leukocytes in Blood								
	CHEM	3097-3	55	BUN/Creat SerPl-mRto	Urea nitrogen/Creatinine [Mass ratio] in Serum or Plasma								
